Fips,ERS resource region
1001,6
1003,6
1005,6
1007,5
1009,5
1011,6
1013,6
1015,5
1017,6
1019,5
1021,5
1023,6
1025,6
1027,6
1029,5
1031,6
1033,6
1035,6
1037,6
1039,6
1041,6
1043,5
1045,6
1047,6
1049,5
1051,6
1053,6
1055,5
1057,6
1059,6
1061,6
1063,6
1065,6
1067,6
1069,6
1071,5
1073,5
1075,6
1077,5
1079,5
1081,6
1083,5
1085,6
1087,6
1089,5
1091,6
1093,6
1095,5
1097,6
1099,6
1101,6
1103,5
1105,6
1107,6
1109,6
1111,6
1113,6
1115,5
1117,5
1119,6
1121,6
1123,6
1125,6
1127,5
1129,6
1131,6
1133,5
4001,8
4003,7
4005,7
4007,7
4009,7
4011,8
4012,7
4013,7
4015,8
4017,7
4019,7
4021,7
4023,7
4025,8
4027,7
5001,9
5003,9
5005,5
5007,5
5009,5
5011,6
5013,6
5015,5
5017,9
5019,6
5021,9
5023,5
5025,6
5027,6
5029,5
5031,9
5033,5
5035,9
5037,9
5039,6
5041,9
5043,9
5045,5
5047,5
5049,5
5051,5
5053,5
5055,9
5057,5
5059,5
5061,5
5063,9
5065,5
5067,9
5069,9
5071,5
5073,5
5075,9
5077,9
5079,9
5081,5
5083,5
5085,9
5087,5
5089,5
5091,5
5093,9
5095,9
5097,5
5099,6
5101,5
5103,6
5105,5
5107,9
5109,5
5111,9
5113,5
5115,5
5117,9
5119,5
5121,9
5123,9
5125,5
5127,5
5129,5
5131,5
5133,5
5135,5
5137,5
5139,6
5141,5
5143,5
5145,9
5147,9
5149,5
6001,7
6003,8
6005,8
6007,7
6009,8
6011,7
6013,7
6015,8
6017,8
6019,7
6021,7
6023,8
6025,7
6027,8
6029,7
6031,7
6033,7
6035,8
6037,7
6039,7
6041,7
6043,8
6045,8
6047,7
6049,8
6051,8
6053,7
6055,7
6057,8
6059,7
6061,8
6063,8
6065,7
6067,7
6069,7
6071,7
6073,7
6075,7
6077,7
6079,7
6081,7
6083,7
6085,7
6087,7
6089,8
6091,8
6093,8
6095,7
6097,7
6099,7
6101,7
6103,7
6105,8
6107,7
6109,8
6111,7
6113,7
6115,7
8001,4
8003,8
8005,4
8007,8
8009,4
8011,4
8013,3
8015,8
8017,4
8019,8
8021,8
8023,8
8025,4
8027,4
8029,8
8031,4
8033,8
8035,4
8037,8
8039,4
8041,4
8043,4
8045,8
8047,8
8049,8
8051,8
8053,8
8055,4
8057,8
8059,3
8061,4
8063,4
8065,8
8067,8
8069,3
8071,4
8073,4
8075,3
8077,8
8079,8
8081,8
8083,8
8085,8
8087,3
8089,4
8091,8
8093,8
8095,4
8097,8
8099,4
8101,4
8103,8
8105,8
8107,8
8109,8
8111,8
8113,8
8115,3
8117,8
8119,8
8121,4
8123,3
8125,4
9001,2
9003,2
9005,2
9007,2
9009,2
9011,2
9013,2
9015,2
10001,6
10003,6
10005,6
11001,6
12001,7
12003,7
12005,7
12007,7
12009,7
12011,7
12013,7
12015,7
12017,7
12019,7
12021,7
12023,7
12025,7
12027,7
12029,7
12031,7
12033,7
12035,7
12037,7
12039,7
12041,7
12043,7
12045,7
12047,7
12049,7
12051,7
12053,7
12055,7
12057,7
12059,7
12061,7
12063,7
12065,7
12067,7
12069,7
12071,7
12073,7
12075,7
12077,7
12079,7
12081,7
12083,7
12085,7
12087,7
12089,7
12091,7
12093,7
12095,7
12097,7
12099,7
12101,7
12103,7
12105,7
12107,7
12109,7
12111,7
12113,7
12115,7
12117,7
12119,7
12121,7
12123,7
12125,7
12127,7
12129,7
12131,7
12133,7
13001,7
13003,6
13005,7
13007,6
13009,6
13011,6
13013,6
13015,5
13017,6
13019,6
13021,6
13023,6
13025,7
13027,6
13029,7
13031,6
13033,6
13035,6
13037,6
13039,7
13043,6
13045,6
13047,5
13049,7
13051,7
13053,6
13055,5
13057,6
13059,6
13061,6
13063,6
13065,6
13067,6
13069,6
13071,6
13073,6
13075,6
13077,6
13079,6
13081,6
13083,5
13085,6
13087,6
13089,6
13091,6
13093,6
13095,6
13097,6
13099,6
13101,6
13103,6
13105,6
13107,6
13109,7
13111,6
13113,6
13115,5
13117,6
13119,6
13121,6
13123,6
13125,6
13127,7
13129,5
13131,6
13133,6
13135,6
13137,6
13139,6
13141,6
13143,6
13145,6
13147,6
13149,6
13151,6
13153,6
13155,6
13157,6
13159,6
13161,6
13163,6
13165,6
